"";"Var1";"Var2";"res"
"1";0,1;0;0,607596253643285
"2";0,2;0;0,629784252405405
"3";0,3;0;0,664951706334352
"4";0,4;0;0,710910350957084
"5";0,5;0;0,765313907995346
"6";0,6;0;0,82589180884758
"7";0,7;0;0,890463979604626
"8";0,8;0;0,95672497500838
"9";0,9;0;NA
"10";0,1;0,1;0,601165471849542
"11";0,2;0,1;0,61474196994005
"12";0,3;0,1;0,642628637516994
"13";0,4;0,1;0,68296305437523
"14";0,5;0,1;0,733480056299975
"15";0,6;0,1;0,791887384623949
"16";0,7;0,1;0,856033149350796
"17";0,8;0,1;0,923845204280983
"18";0,9;0,1;0,992987887628
"19";0,1;0,2;NA
"20";0,2;0,2;0,604823261640185
"21";0,3;0,2;0,62485709500397
"22";0,4;0,2;0,659106320242306
"23";0,5;0,2;0,705447954616363
"24";0,6;0,2;0,761533143786367
"25";0,7;0,2;0,825121936383678
"26";0,8;0,2;0,894182300743399
"27";0,9;0,2;0,966755214553287
"28";0,1;0,3;NA
"29";0,2;0,3;0,600237627419542
"30";0,3;0,3;0,611509377246771
"31";0,4;0,3;0,638932653931502
"32";0,5;0,3;0,680655058507675
"33";0,6;0,3;0,734273232827894
"34";0,7;0,3;0,797363592778197
"35";0,8;0,3;0,8677576446486
"36";0,9;0,3;0,94361605478992
"37";0,1;0,4;NA
"38";0,2;0,4;NA
"39";0,3;0,4;0,60290090999665
"40";0,4;0,4;0,622321410008562
"41";0,5;0,4;0,658703812253409
"42";0,6;0,4;0,709646767944155
"43";0,7;0,4;0,772443827998253
"44";0,8;0,4;0,844621015666087
"45";0,9;0,4;0,924182263318929
"46";0,1;0,5;NA
"47";0,2;0,5;NA
"48";0,3;0,5;NA
"49";0,4;0,5;0,609538676389271
"50";0,5;0,5;0,639360009753725
"51";0,6;0,5;0,687274515128586
"52";0,7;0,5;0,750173663368141
"53";0,8;0,5;0,825026521538222
"54";0,9;0,5;0,909353286831624
"55";0,1;0,6;NA
"56";0,2;0,6;NA
"57";0,3;0,6;NA
"58";0,4;0,6;0,601546701064553
"59";0,5;0,6;0,622654773046749
"60";0,6;0,6;0,666844478075512
"61";0,7;0,6;0,730544069474755
"62";0,8;0,6;0,809728936600379
"63";0,9;0,6;0,900870635785087
"64";0,1;0,7;NA
"65";0,2;0,7;NA
"66";0,3;0,7;NA
"67";0,4;0,7;NA
"68";0,5;0,7;0,609064432319922
"69";0,6;0,7;0,648099177477213
"70";0,7;0,7;0,713965104700276
"71";0,8;0,7;0,800764731208373
"72";0,9;0,7;NA
"73";0,1;0,8;NA
"74";0,2;0,8;NA
"75";0,3;0,8;NA
"76";0,4;0,8;NA
"77";0,5;0,8;0,6006080597698
"78";0,6;0,8;0,630824625820739
"79";0,7;0,8;0,70217162916516
"80";0,8;0,8;NA
"81";0,9;0,8;NA
"82";0,1;0,9;NA
"83";0,2;0,9;NA
"84";0,3;0,9;NA
"85";0,4;0,9;NA
"86";0,5;0,9;NA
"87";0,6;0,9;0,614841748977561
"88";0,7;0,9;NA
"89";0,8;0,9;NA
"90";0,9;0,9;NA
