"","input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_rho","actual_rho2","actual_bad_rate","gini_model","gini_model_rho","gini_model_rho2","gini_logistic","gini_logs","gini_probit","diff.logistic","diff.logistic2","diff.logs2","diff.probit"
"1",0.816427669173572,0.111303666420281,0.399104200489819,0.376912114515435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.115682509706821,0.71070351768285,0.682680138573051,0.0371077770623378,0.874295540373727,0.622147204260175,0.763788512742488,0.135318514523809,0.123194415194415,0.128919444654609,0.044,0.876218352428948,0.879369372611682,0.87787763182906,0.863493723849372,0.896443514644351,0.863826550019019,-0.0127246285795761,-0.0143839079796879,0.0185658828152913,-0.0123918024099299
"3",0.29678274536971,0.387444174289703,0.647076616436243,0.47602853020886,0.685885487440526,0.365834667822555,0.660433698963313,0.289340321648683,0.275995955995956,0.288017374376521,0.471,0.691551088138278,0.694245743997064,0.691813820652401,0.691000525768686,0.700889793264542,0.690928282743148,-0.000550562369591834,-0.000813294883714955,0.00907597261214099,-0.000622805395129822
"4",0.352995129295159,0.181080571189523,0.336257204040885,0.237345321981702,0.343003693224705,0.199410039462055,0.36602885627593,0.361579490678481,0.350303258303258,0.364783299979197,0.231,0.373265950087955,0.374090528562073,0.3730386545837,0.372131119855437,0.399523753229865,0.372153637433221,-0.00113483023251826,-0.000907534728262993,0.0264850986461649,-0.0011123126547341
"5",0.955543027811218,0.545437781326473,0.562209332175553,0.447575292915571,0.563145301985118,0.577522042826062,0.605282099098657,0.954634581310989,0.948447528447529,0.952888473381962,0.426,0.60530672823752,0.605532256051603,0.605348706424133,0.605437503067183,0.610982970996712,0.60550293631709,0.000130774829663283,8.87966430507259e-05,0.00563426457257932,0.000196208079569438
"6",0.957884924411774,0.439374735765159,0.151539991796017,0.304902367528994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.527761442635674,0.435426243767142,0.710113701038063,0.0390087626804598,0.711440292783875,0.525414937759336,0.745389580451821,0.528911306584499,0.493729165729166,0.511292267417846,0.036,0.753866635556596,0.757857259314401,0.755792174033323,0.742911479944675,0.792992162286768,0.742508068234209,-0.010955155611921,-0.0128806940886483,0.0371999882534448,-0.0113585673223866
"8",0.328833954522852,0.846728768385947,0.198360804654658,0.0528045207611285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.647305319658481,0.637652588263154,0.234794525057077,0.441887758914381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.608404045735952,0.70695416778326,0.105123947188258,0.219915013762657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
