"","input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_bad_rate","gini_model","gini_logistic","gini_probit"
"1",0.309687329975422,0.25330749694258,0.286858870461583,0.320338937614579,0.335942883196414,0.256524621685963,0.281691598894098,0.323500863184302,0.3201,0.332449256295561,0.331375844592615,0.331379704248364
"2",0.611264652810059,0.503048063442111,0.368750143051148,0.0625155643862672,0.507944093047613,0.50045317819125,0.362987805976333,0.608853366047721,0.059,0.504837234102028,0.50482393414867,0.50484086528936
"3",0.360220899505075,0.510140270553529,0.688633576966822,0.195910098107997,0.745166590471078,0.512767239406459,0.684853530431016,0.35757817438358,0.1944,0.743843864387008,0.742947004711873,0.742948154073747
"4",0.201299139107577,0.421660711802542,0.464985619485378,0.0445610115001909,0.564345359880049,0.393070412708756,0.452048253914869,0.198650505175911,0.0417,0.540169465420179,0.546060657474229,0.546157251387662
"5",0.0625984894414432,0.618792066536844,0.285161165334284,0.0527056754287332,0.658161365068963,0.598223990171796,0.325405693375843,0.0670938080390872,0.0512,0.652890614889922,0.656999713453836,0.657016181624157
"6",0.530460568300914,0.358986767940223,0.886456453800201,0.241280417249072,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.0157289843726903,0.820508446916938,0.668594341911376,0.0822294274671003,0.982990485144899,0.824855615913668,0.671774707210733,0.0132364972860065,0.0812,0.986789110594429,0.984718501965511,0.984727348372583
"8",0.616332055837847,0.262000780925155,0.664701386168599,0.0920830163150094,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.243224446491804,0.720608331263065,0.213904630020261,0.235722035567742,0.722011854359677,0.707124228951758,0.220401038770035,0.247510243140709,0.2382,0.709050326149388,0.708942693726181,0.708979836742665
"10",0.106294245631434,0.694960042648017,0.626221563667059,0.26149759356631,0.90676831368005,0.680779686161433,0.639390919158361,0.117688625929766,0.258,0.899534993228428,0.901752230510458,0.901748678409495
