"","input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_bad_rate","gini_model","gini_logistic","gini_probit","diff.logistic","diff.probit"
"62",0.0352156621031463,0.137891326285899,0.153088493831456,0.223443020205013,0.202666732334103,0.115058695956771,0.16625545991191,0.0220922273774965,0.207,0.200231182911172,0.189222118659039,0.189173383043661,-0.0110090642521325,-0.011057799867511
"63",0.700291198482737,0.269232496246696,0.806978412158787,0.130798861975782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",0.30662396728294,0.793119260296226,0.638360196538269,0.47403419916518,0.924314942760637,0.815011000237299,0.649118573307432,0.355246012231772,0.463,0.927934535723614,0.925592544775189,0.925520148332267,-0.00234199094842524,-0.0024143873913467
"65",0.525046544156503,0.201421856693923,0.766694020852447,0.0230016450281255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",0.918257604776882,0.360585260950029,0.793608374707401,0.248647283480968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",0.528365686072502,0.339963550493121,0.780536545626819,0.477627732397523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",0.351977320408914,0.707021814770997,0.898516800440848,0.0513348730490543,0.945749289802628,0.602350098835932,0.88842521414452,0.312910193537252,0.058,0.922117801607254,0.92682480415843,0.927044439563658,0.00470700255117618,0.00492663795640347
"69",0.721779519324191,0.480503734387457,0.678555246442556,0.469728488919791,0.678564184218019,0.547119433959974,0.728396260381648,0.741925103419075,0.447,0.729067105116899,0.728833169492417,0.728833169492417,-0.000233935624482262,-0.000233935624482262
"70",0.0791784375021234,0.32229854427278,0.722638490796089,0.02233751462074,0.753657100396711,0.256938775510204,0.688163265306122,0.0455450771211057,0.02,0.713034481308094,0.746428571428571,0.746224489795918,0.0333940901204772,0.0331900084878241
"71",0.603542969268747,0.683186808601022,0.532346129417419,0.394280525394715,0.704128034574512,0.722337116435477,0.551164354770912,0.579361779448407,0.39,0.74611604204056,0.746078184110971,0.746086591004624,-3.78579295887693e-05,-2.94510359359901e-05
"72",0.174473673796747,0.240792543441057,0.500868868082762,0.0303075501183048,0.521011368850298,0.481099656357388,0.470927835051546,0.197029025169363,0.03,0.602131321055699,0.593539518900344,0.594501718213059,-0.00859180215535549,-0.00762960284264058
"73",0.656645608821418,0.570036580227315,0.758113852888346,0.162074077075813,0.763734361195263,0.627779255414741,0.802689938250749,0.65043222238463,0.167,0.813994238986704,0.812437549870247,0.812293779787364,-0.00155668911645623,-0.0017004591993397
