"input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_rho","actual_rho2","actual_bad_rate","gini_model","gini_model_rho","gini_model_rho2","gini_logistic","gini_logs","gini_probit","diff.logistic","diff.logistic2","diff.logs2","diff.probit"
0.816427669173572,0.19176250230521,0.146637166850269,0.273070827862248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.115682509706821,0.663260935805738,0.550764458626509,0.0547764108888805,0.788495258399188,0.220194327731086,0.414478291316524,0.534551355513404,0.533096033096033,0.551035833629268,0.048,NA,NA,NA,0.415222338935574,0.424457282913165,0.415747549019608,NA,NA,NA,NA
0.29678274536971,0.517106018029153,0.35896954741329,0.369973915526643,0.564491687556125,0.358201608051199,0.329448541941022,0.526625610408523,0.516047688047688,0.533852105684881,0.389,0.395994906140395,0.397384258176798,0.395055144595831,0.398575389495916,0.394746696174252,0.398491242389946,0.00258048335552119,0.00352024490008551,-0.000308448421579177,0.0024963362495507
0.352995129295159,0.892565492913127,0.792248200625181,0.374393318616785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.955543027811218,0.207079587876797,0.457813832722604,0.0926692535844631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.957884924411774,0.275676301494241,0.391397029347718,0.29259323787177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.527761442635674,0.102811283245683,0.209814717248082,0.155968695844058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.328833954522852,0.838678287342191,0.809729866869748,0.438325294086244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.647305319658481,0.611224930919707,0.701906226947904,0.215160332436208,0.733007185871213,0.766775712606067,0.592399680781721,0.616082831917683,0.596350712350712,0.614398376397633,0.207,0.782833916243475,0.786237022929322,0.783115684604802,0.77010191835566,0.778728122277658,0.770698929644046,-0.0127319978878144,-0.0130137662491416,-0.00438756232714388,-0.0121349865994282
0.608404045735952,0.316685671545565,0.521212189644575,0.173676900067367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0139882871950977,0.27573568597436,0.327083281613886,0.0547542958054692,0.42134723413438,0.063758865248225,0.329822695035461,0.284920098719901,0.266778086778087,0.278461744803503,0.06,NA,NA,NA,0.330638297872341,0.334645390070922,0.330283687943262,NA,NA,NA,NA
0.755745603132527,0.367509915865958,0.43112954813987,0.337036616099067,0.436305701715992,0.750198799478346,0.356444056690797,0.383289814975972,0.348439752439753,0.362864401711151,0.327,0.755837728425546,0.759750037429424,0.758018794249527,0.756251391596348,0.771246552249043,0.756305919453267,0.00041366317080227,-0.00176740265317865,0.0132277579995166,0.000468191027721332
0.355712165683508,0.670857928879559,0.618837904185057,0.366350839918014,0.800109155621416,0.423710488645554,0.582746258070934,0.710195043490117,0.701102597102597,0.717813726077539,0.363,0.58320863475839,0.583548522679538,0.5829912806019,0.582815452945321,0.583507401689216,0.582945193334801,-0.000393181813068466,-0.000175827656578864,0.000516121087316135,-0.000263441423588251
0.100337206847034,0.802145806699991,0.614769130758941,0.0346374999755062,0.901726014547101,0.557796796761241,0.635995596434523,0.684335655338261,0.663421143421144,0.680845563439506,0.0290000000000001,0.652254411372001,0.655187585910527,0.652735093359585,0.63436201569658,0.637700202421961,0.633438687453389,-0.0178923956754218,-0.0183730776630049,-0.0150348909376239,-0.0188157239186122
