"","input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_bad_rate","gini_model","gini_logistic","gini_probit"
"1",0.201956602076534,0.120889226160944,0.189957309700549,0.319515585885383,0.208001117710146,0.1086612938799,0.193647532838576,0.195603953556019,0.3166,0.206816700008047,0.204380072806788,0.204370736707012
"2",0.609353192816488,0.256743450276554,0.136954846791923,0.202627500731032,NA,NA,NA,NA,NA,NA,NA,NA
"3",0.951021597459912,0.767808451130986,0.389622163400054,0.211245346830692,NA,NA,NA,NA,NA,NA,NA,NA
"4",0.186057400256395,0.223404908180237,0.760642088390887,0.198010478280485,0.765499892016867,0.239052738770077,0.765079381394606,0.184649532631204,0.2058,0.772047475834606,0.771185971960465,0.771197474204993
"5",0.655538462530822,0.498168559744954,0.589982645586133,0.483981997990049,0.611499872758342,0.506804751865536,0.592835594460991,0.662771200046107,0.4898,0.615486632498254,0.615491262843945,0.615491582977172
"6",0.508211916368455,0.318362216092646,0.348198173567653,0.0461746059940197,0.383516223935129,0.336645855468805,0.39315941880466,0.515332553879214,0.0441,0.42130684118197,0.413450158806069,0.413794125942737
"7",0.42364518039627,0.898136446811259,0.633566079847515,0.447287938070949,0.961631926273092,0.89583327533602,0.628913542689311,0.420525074417755,0.4537,0.958920486713728,0.959945018143779,0.959944372608468
"8",0.420865461663343,0.368190869316459,0.671887299418449,0.260944701763801,0.679811588792504,0.35343825770075,0.674920224178341,0.415136434122128,0.2585,0.680807150157058,0.681436786481477,0.681436056088931
"9",0.884016101101879,0.683607644960284,0.668116928823292,0.113158942253795,0.696014641771489,0.697825701951555,0.683531717559156,0.884069500263313,0.1127,0.711024967775581,0.710389664026666,0.710378863887344
"10",0.202513135448098,0.11944724470377,0.421875719726086,0.238247748448048,0.423399074075283,0.124815233674016,0.41410434001728,0.191787915253533,0.2337,0.416810086291858,0.416506672192556,0.416496732740015
"11",0.293891944563948,0.512767236307263,0.358751417882741,0.311095585152507,0.560599498843543,0.511661243050758,0.371647278927639,0.300478293577147,0.3084,0.564062376238872,0.563981695483846,0.563943718920168
