"";"Var1";"Var2";"res"
"155";0,15;0,4;NA
"156";0,2;0,4;NA
"157";0,25;0,4;0,600032645129588
"158";0,3;0,4;0,60290090999665
"159";0,35;0,4;0,610373160544122
"160";0,4;0,4;0,622321410008562
"161";0,45;0,4;0,638525521486698
"162";0,5;0,4;0,658703812253409
"163";0,55;0,4;0,682524975178436
"164";0,6;0,4;0,709646767944155
"165";0,65;0,4;0,739751766177485
"166";0,7;0,4;0,772443827998253
"167";0,75;0,4;0,807497125477005
"168";0,8;0,4;0,844621015666087
"169";0,85;0,4;0,883582163391984
"170";0,9;0,4;0,924182263318929
"171";0,95;0,4;0,966260119672439
"172";0,05;0,45;NA
"173";0,1;0,45;NA
"174";0,15;0,45;NA
"175";0,2;0,45;NA
"176";0,25;0,45;NA
"177";0,3;0,45;0,600644741091998
"178";0,35;0,45;0,605611442826265
"179";0,4;0,45;0,615413737018721
"180";0,45;0,45;0,629870429986785
"181";0,5;0,45;0,648714868196762
"182";0,55;0,45;0,671611964356025
"183";0,6;0,45;0,698199775604998
"184";0,65;0,45;0,728109134310415
"185";0,7;0,45;0,760984154437481
"186";0,75;0,45;0,796502364573836
"187";0,8;0,45;0,834350742957902
"188";0,85;0,45;0,874293304365622
"189";0,9;0,45;0,916112704805133
"190";0,95;0,45;0,959643036024282
"191";0,05;0,5;NA
"192";0,1;0,5;NA
"193";0,15;0,5;NA
"194";0,2;0,5;NA
"195";0,25;0,5;NA
"196";0,3;0,5;NA
"197";0,35;0,5;0,602164401433721
"198";0,4;0,5;0,609538676389271
"199";0,45;0,5;0,622019501633502
"200";0,5;0,5;0,639360009753725
"201";0,55;0,5;0,661245937300762
"202";0,6;0,5;0,687274515128586
"203";0,65;0,5;0,717049260643271
"204";0,7;0,5;0,750173663368141
"205";0,75;0,5;0,786277158900514
"206";0,8;0,5;0,825026521538222
"207";0,85;0,5;0,866132295492767
"208";0,9;0,5;0,909353286831624
"209";0,95;0,5;0,95449849899514
"210";0,05;0,55;NA
"211";0,1;0,55;NA
"212";0,15;0,55;NA
"213";0,2;0,55;NA
"214";0,25;0,55;NA
"215";0,3;0,55;NA
"216";0,35;0,55;0,600264362628686
"217";0,4;0,55;0,604839126088044
"218";0,45;0,55;0,615039197151184
"219";0,5;0,55;0,630668337707368
"220";0,55;0,55;0,651401063332903
"221";0,6;0,55;0,676833651000147
"222";0,65;0,55;0,706522512453588
"223";0,7;0,55;0,740041696835383
"224";0,75;0,55;0,77689270902283
"225";0,8;0,55;0,816759287628816
"226";0,85;0,55;0,859275795304038
"227";0,9;0,55;0,904150521912484
"228";0,95;0,55;0,951136989196202
"229";0,05;0,6;NA
"230";0,1;0,6;NA
"231";0,15;0,6;NA
"232";0,2;0,6;NA
"233";0,25;0,6;NA
"234";0,3;0,6;NA
"235";0,35;0,6;NA
"236";0,4;0,6;0,601546701064553
"237";0,45;0,6;0,609049684968785
"238";0,5;0,6;0,622654773046749
"239";0,55;0,6;0,642060604744963
"240";0,6;0,6;0,666844478075512
"241";0,65;0,6;0,696511636055001
"242";0,7;0,6;0,730544069474755
"243";0,75;0,6;0,768438496575625
"244";0,8;0,6;0,809728936600379
"245";0,85;0,6;0,8539969176619
"246";0,9;0,6;0,900870635785087
"247";0,95;0,6;NA
"248";0,05;0,65;NA
"249";0,1;0,65;NA
"250";0,15;0,65;NA
"251";0,2;0,65;NA
"252";0,25;0,65;NA
"253";0,3;0,65;NA
"254";0,35;0,65;NA
"255";0,4;0,65;0,600038797067542
"256";0,45;0,65;0,604259155018602
"257";0,5;0,65;0,615403292841792
"258";0,55;0,65;0,633220664158737
"259";0,6;0,65;0,657275530623651
"260";0,65;0,65;0,687011226485282
"261";0,7;0,65;0,72181712141445
"262";0,75;0,65;0,761082782250762
"263";0,8;0,65;0,804230604371869
"264";0,85;0,65;0,850728004976934
"265";0,9;0,65;NA
"266";0,95;0,65;NA
"267";0,05;0,7;NA
"268";0,1;0,7;NA
"269";0,15;0,7;NA
"270";0,2;0,7;NA
"271";0,25;0,7;NA
"272";0,3;0,7;NA
"273";0,35;0,7;NA
"274";0,4;0,7;NA
"275";0,45;0,7;0,601031597813652
"276";0,5;0,7;0,609064432319922
"277";0,55;0,7;0,624897941035601
"278";0,6;0,7;0,648099177477213
"279";0,65;0,7;0,678034719293176
"280";0,7;0,7;0,713965104700276
"281";0,75;0,7;0,755123099052895
"282";0,8;0,7;0,800764731208373
"283";0,85;0,7;NA
"284";0,9;0,7;NA
"285";0,95;0,7;NA
"286";0,05;0,75;NA
"287";0,1;0,75;NA
"288";0,15;0,75;NA
"289";0,2;0,75;NA
"290";0,25;0,75;NA
"291";0,3;0,75;NA
"292";0,35;0,75;NA
"293";0,4;0,75;NA
"294";0,45;0,75;NA
"295";0,5;0,75;0,603930940129769
"296";0,55;0,75;0,617146773389554
"297";0,6;0,75;0,639283227966454
"298";0,65;0,75;0,669631737005526
"299";0,7;0,75;0,707240906956571
"300";0,75;0,75;0,751109155019869
"301";0,8;0,75;NA
"302";0,85;0,75;NA
"303";0,9;0,75;NA
"304";0,95;0,75;NA
"305";0,05;0,8;NA
"306";0,1;0,8;NA
"307";0,15;0,8;NA
"308";0,2;0,8;NA
"309";0,25;0,8;NA
"310";0,3;0,8;NA
"311";0,35;0,8;NA
"312";0,4;0,8;NA
"313";0,45;0,8;NA
"314";0,5;0,8;0,6006080597698
"315";0,55;0,8;0,610103282308777
"316";0,6;0,8;0,630824625820739
"317";0,65;0,8;0,661926679463541
"318";0,7;0,8;0,70217162916516
"319";0,75;0,8;NA
"320";0,8;0,8;NA
"321";0,85;0,8;NA
"322";0,9;0,8;NA
"323";0,95;0,8;NA
"324";0,05;0,85;NA
"325";0,1;0,85;NA
"326";0,15;0,85;NA
"327";0,2;0,85;NA
"328";0,25;0,85;NA
"329";0,3;0,85;NA
"330";0,35;0,85;NA
"331";0,4;0,85;NA
"332";0,45;0,85;NA
"333";0,5;0,85;NA
"334";0,55;0,85;0,604116041548183
"335";0,6;0,85;0,622681727642037
"336";0,65;0,85;0,655242956545563
"337";0,7;0,85;NA
"338";0,75;0,85;NA
"339";0,8;0,85;NA
"340";0,85;0,85;NA
"341";0,9;0,85;NA
"342";0,95;0,85;NA
"343";0,05;0,9;NA
"344";0,1;0,9;NA
"345";0,15;0,9;NA
"346";0,2;0,9;NA
"347";0,25;0,9;NA
"348";0,3;0,9;NA
"349";0,35;0,9;NA
"350";0,4;0,9;NA
"351";0,45;0,9;NA
"352";0,5;0,9;NA
"353";0,55;0,9;0,600266279000556
"354";0,6;0,9;0,614841748977561
"355";0,65;0,9;0,65058757550125
"356";0,7;0,9;NA
"357";0,75;0,9;NA
"358";0,8;0,9;NA
"359";0,85;0,9;NA
"360";0,9;0,9;NA
"361";0,95;0,9;NA
"362";0,05;0,95;NA
"363";0,1;0,95;NA
"364";0,15;0,95;NA
"365";0,2;0,95;NA
"366";0,25;0,95;NA
"367";0,3;0,95;NA
"368";0,35;0,95;NA
"369";0,4;0,95;NA
"370";0,45;0,95;NA
"371";0,5;0,95;NA
"372";0,55;0,95;NA
"373";0,6;0,95;0,607286695325768
"374";0,65;0,95;NA
"375";0,7;0,95;NA
"376";0,75;0,95;NA
"377";0,8;0,95;NA
"378";0,85;0,95;NA
"379";0,9;0,95;NA
"380";0,95;0,95;NA
