"input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_rho","actual_rho2","actual_bad_rate","gini_model","gini_model_rho","gini_model_rho2","gini_logistic","gini_logs","gini_probit","diff.logistic","diff.logistic2","diff.logs2","diff.probit"
0.816427669173572,0.19176250230521,0.146637166850269,0.273070827862248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.115682509706821,0.663260935805738,0.550764458626509,0.0547764108888805,0.788495258399188,0.287957665182107,0.436208775438062,0.555177977681318,0.55087503607275,0.568909230445539,0.0536000000000002,0.439093230748463,0.439330234426125,0.438390614604409,0.435865763111746,0.436133470433125,0.435742751794705,-0.00322746763671766,-0.00252485149266324,-0.00225714417128375,-0.00335047895375817
0.29678274536971,0.517106018029153,0.35896954741329,0.369973915526643,0.564491687556125,0.317439771058917,0.322630259877406,0.530456263451742,0.533678950112789,0.551622611133185,0.3692,0.366936252697373,0.366555808347885,0.364380562569314,0.364586904383222,0.36961980899592,0.36458862192225,-0.00234934831415123,0.000206341813907773,0.005239246426606,-0.00234763077512334
0.352995129295159,0.892565492913127,0.792248200625181,0.374393318616785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.955543027811218,0.207079587876797,0.457813832722604,0.0926692535844631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.957884924411774,0.275676301494241,0.391397029347718,0.29259323787177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.527761442635674,0.102811283245683,0.209814717248082,0.155968695844058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.328833954522852,0.838678287342191,0.809729866869748,0.438325294086244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.647305319658481,0.611224930919707,0.701906226947904,0.215160332436208,0.733007185871213,0.737985691017192,0.657030129706095,0.609292570027634,0.608019551624196,0.626015541514652,0.2199,0.785356525408261,0.785656353470796,0.781465248627873,0.762871902419889,0.774507984803205,0.762912824867837,-0.0224846229883717,-0.0185933462079837,-0.00695726382466799,-0.0224437005404234
0.608404045735952,0.316685671545565,0.521212189644575,0.173676900067367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0139882871950977,0.27573568597436,0.327083281613886,0.0547542958054692,0.42134723413438,0.00750581495884539,0.238805496104294,0.20899861910329,0.209879834950798,0.219343545135006,0.0570999999999999,NA,NA,NA,0.242795496771058,0.246888767169288,0.242780266343039,NA,NA,NA,NA
0.755745603132527,0.367509915865958,0.43112954813987,0.337036616099067,0.436305701715992,0.796911269615035,0.407367736994772,0.3808150634421,0.382743585131436,0.398130665119595,0.3381,0.808607352060444,0.808329850668966,0.806221801203306,0.80183073840426,0.818984085814298,0.801849863614469,-0.00677661365618487,-0.004391062799046,0.0127622846109923,-0.00675748844597579
0.355712165683508,0.670857928879559,0.618837904185057,0.366350839918014,0.800109155621416,0.426874183750946,0.601467223031568,0.682877291001842,0.686077350092773,0.703105592080275,0.3703,0.602353247085676,0.60221778189633,0.601676150007074,0.601490638628675,0.601563201248352,0.60150281817004,-0.000862608457001146,-0.000185511378399061,-0.000112948758722142,-0.000850428915635915
0.100337206847034,0.802145806699991,0.614769130758941,0.0346374999755062,0.901726014547101,0.283423812816956,0.438511987090804,0.678534753369981,0.680876603236766,0.698004424266282,0.0360000000000002,NA,NA,NA,0.442720723835869,0.442327109266943,0.442716113416321,NA,NA,NA,NA
0.55122925439151,0.383589089103043,0.552754587307572,0.408402464983519,0.562624583718503,0.586256434178328,0.548835390705546,0.401183406178248,0.400198656161987,0.416026865628336,0.4058,0.688848992271188,0.68911381659426,0.684895185248155,0.680029839956114,0.686109556831524,0.68006409585414,-0.00881915231507402,-0.00486534529204152,0.00121437158336879,-0.0087848964170476
0.419976235509384,0.835224670358002,0.694138677977026,0.412886989398394,0.941336955138615,0.57215285649662,0.67124950029065,0.851932803493227,0.852082536048825,0.862990063390911,0.4184,0.671408448587844,0.671404246368114,NA,0.671295443965483,0.671535764726295,0.671335634407358,-0.000113004622360302,NA,NA,-7.28141804855476e-05
0.415089976661839,0.536258084699512,0.824459137581289,0.397586289760657,0.862918085237234,0.464043791589046,0.798740969329708,0.559085203776835,0.55817101542171,0.576229767241355,0.4008,0.800142110030957,0.800196191625083,0.799308258627824,0.79876170556084,0.798833574506528,0.798748381074969,-0.00138040447011778,-0.000546553066984368,-0.000474684121296143,-0.00139372895598844
0.924076850877609,0.783614462614059,0.670787567272782,0.451634804408532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.665345077975653,0.72032199818641,0.422624821215868,0.324256222529802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.751105782631785,0.514308079145849,0.444642347097397,0.133356904378161,0.521536721563373,0.796144527986649,0.344007119247392,0.473808120666019,0.470617850126178,0.487857516062793,0.126,NA,NA,NA,0.807052595256257,0.833791907304497,0.807036976499214,NA,NA,NA,NA
