"","input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_rho","actual_bad_rate","gini_model","gini_model_rho","gini_logistic","gini_probit","diff.logistic","diff.probit"
"1",0.22032984495163,0.298077521286905,0.129519674740732,0.25040368343005,0.305347474741705,0.302003059950559,0.134108547042499,0.223877368888895,0.213948367491484,0.2511,0.309798968007247,0.310464901679157,0.311377541966635,0.311386794884455,0.00157857395938832,0.00158782687720826
"2",0.287894178552087,0.840925759263337,0.628345266357064,0.491840731564444,0.965074667147074,0.846451462634208,0.630088872909463,0.287845898126683,0.279556767443568,0.4937,0.970653591959805,0.974266621269522,0.967913305916447,0.967906504836708,-0.00274028604335785,-0.00274708712309724
"3",0.96934237339301,0.10792666003108,0.221903033740819,0.288253197246231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0.135074552167207,0.513499301671982,0.753183236159384,0.190900950599462,0.861500256836609,0.506493338868197,0.750203906876616,0.141291879875216,0.134409263220093,0.1892,0.85334688579239,0.855644451766203,0.857658919596024,0.85766635098475,0.00431203380363399,0.00431946519235971
"5",0.632250138565432,0.359439207799733,0.667228413932025,0.405091548105702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0.322121262692381,0.893274633586407,0.46744250562042,0.0319189874548465,0.899304556754923,0.892529652055293,0.461407414841329,0.304572517857221,0.288625894626259,0.0334,0.899693144426247,0.901151417417774,0.896804776542508,0.896812210464236,-0.0028883678837397,-0.0028809339620115
"7",0.135747545000631,0.289870082587004,0.251191899366677,0.474484773282893,0.36227742919283,0.307921894221407,0.260965623359606,0.146740002900231,0.141162900247629,0.479,0.37970642999415,0.380642137959263,0.381730492588927,0.381730412447558,0.00202406259477672,0.0020239824534074
"8",0.661588802668266,0.334235674515367,0.458895003609359,0.362988097872585,0.461152548539572,0.34747290086899,0.461942914103357,0.660513123919526,0.644075332700753,0.3711,0.466014987578354,0.46728675168304,0.466468573209077,0.466449206051517,0.000453585630723063,0.000434218473163162
"9",0.809197646656539,0.396214525401592,0.604922067373991,0.093515713410452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.279237623400986,0.349088287726045,0.178629676438868,0.0798239247663878,0.358738015155446,0.381088060531122,0.194741745933971,0.285319523534179,0.270244200938442,0.0791,0.390952610649101,0.392216861608442,0.392544999745343,0.392629564960019,0.00159238909624215,0.00167695431091763
"11",0.0590813891217113,0.613417974859476,0.346086259186268,0.336275552685838,0.696931594196574,0.598102311959674,0.358710664301202,0.0539945054551935,0.0444005365680054,0.3325,0.69141213433659,0.69440643040964,0.694588471177945,0.694570718932162,0.00317633684135488,0.00315858459557194
"12",0.402744698831812,0.881031804159284,0.492561363615096,0.411270250666421,0.902547166791898,0.885913600049273,0.499074696912482,0.399635680893616,0.385749670349497,0.4083,0.909299760084074,0.912411809950028,0.907571764540508,0.907570439988458,-0.00172799554356606,-0.0017293200956161
"13",0.520263533759862,0.341257658973336,0.666006220877171,0.105838421590161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",0.715414978684857,0.722843336500227,0.692878376692533,0.391421637700405,0.772047384142798,0.722389055359462,0.694944621963939,0.716902281634287,0.699989236887892,0.3953,0.772482690601274,0.776761498767727,0.773355364427341,0.773351431996707,0.000872673826067372,0.000868741395433359
"15",0.891951045175083,0.535459850914776,0.404971599765122,0.331876355661079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.30184937344864,0.480096804350615,0.273860332742333,0.0858647678862326,0.497387140683164,0.468140050738412,0.279163500639913,0.303344089116683,0.291597522095975,0.0883,0.488357133234861,0.489836259560435,0.491075065298719,0.491085251240604,0.0027179320638584,0.00272811800574324
"17",0.324900754611008,0.683549543097615,0.288391191326082,0.307142368531786,0.688378197801518,0.694627342685966,0.287493111040311,0.309162134004612,0.30257799352978,0.3158,0.700295789191721,0.700920433769277,0.700081214285939,0.700087971344149,-0.000214574905782028,-0.000207817847571956
"18",0.946090161076281,0.838081774488092,0.308920308761299,0.35625124592334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",0.833135946183465,0.603847200423479,0.121238501556218,0.0961422658641823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",0.303725709726568,0.494018209539354,0.335089536756277,0.419446095374878,0.534715992239343,0.491365699809495,0.33818532052488,0.322618740246497,0.306725683423257,0.4187,0.530462924004143,0.533294319662565,0.530396012889749,0.530374072821552,-0.0000669111143944967,-0.0000888511825918314
