"","input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_rho","actual_rho2","actual_bad_rate","gini_model","gini_model_rho","gini_model_rho2","gini_logistic","gini_logs","gini_probit","diff.logistic","diff.logistic2","diff.logs2","diff.probit"
"1",0.816427669173572,0.602504323236644,0.39817062728107,0.175082163228653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.115682509706821,0.708706178702414,0.767364801093936,0.36631380259525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0.29678274536971,0.868279206380248,0.496184713207185,0.425736649415921,0.919932340939315,0.858865935404218,0.479928941643633,0.289799405131937,0.273033170306223,0.284946747539506,0.427779999999998,0.907470790243816,0.912495381656277,0.9089019935156,0.911838333978894,0.912934916689323,0.911835828099042,0.00436754373507853,0.0029363404632945,0.00403292317372284,0.00436503785522646
"4",0.352995129295159,0.482294252328575,0.359349031932652,0.483110740438569,0.527000368781255,0.472176320336913,0.35701497527779,0.359046012210586,0.337191152325539,0.351274167574356,0.485210000000001,0.516997793830578,0.520963791817547,0.518392333346177,0.516214473481649,0.518263166839985,0.516207933359194,-0.000783320348929362,-0.0021778598645279,-0.000129166506192213,-0.000789860471384074
"5",0.955543027811218,0.156065354496241,0.857054927572608,0.442539917372633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0.957884924411774,0.596938432566822,0.890366167202592,0.428336671846919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.527761442635674,0.84004622977227,0.665945172123611,0.347572681116872,0.892147406951814,0.82945429664921,0.649831701538008,0.533240342743237,0.497078961475828,0.514682811171442,0.35783,0.876366273545288,0.886710161052828,0.881585617487628,0.882482106544824,0.88427092472753,0.882482877691458,0.00611583299953589,0.000896489057196304,0.00268530723990268,0.00611660414616999
"8",0.328833954522852,0.683020460419357,0.889388337172568,0.329149169789162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.647305319658481,0.758409298583865,0.27160803321749,0.386656675422564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.608404045735952,0.589191897213459,0.578717915900052,0.025731238250155,0.642695624271344,0.515263144453247,0.514860418180144,0.598942039272526,0.57320192201468,0.591284639383193,0.0567200000000009,0.571968551595245,0.576288141904739,0.573243561498414,0.574413733568878,0.606777898690152,0.574367212675299,0.0024451819736333,0.00117017207046421,0.033534337191738,0.00239866108005393
"11",0.0139882871950977,0.683365347608924,0.540322754904628,0.169610681741033,0.861920454906667,0.657840779957931,0.518668580247017,0.012246596622104,0.0119305807074051,0.0124935936445728,0.192969999999999,0.835282817137736,0.8354100534316,0.835183412074162,0.843223544225009,0.846933485994017,0.843221700037979,0.00794072708727267,0.00804013215084698,0.0117500739198553,0.00793888290024225
"12",0.755745603132527,0.380511415749788,0.328079293854535,0.0202279271697626,0.384860909467021,0.326477775959873,0.287871949658326,0.752820299513238,0.727086222677677,0.74314359087669,0.0501599999999995,0.332346074112781,0.334259064166551,0.33304853940071,0.333520131351596,0.412280160237847,0.333594088237945,0.00117405723881436,0.00047159195088553,0.0792316208371373,0.00124801412516384
"13",0.355712165683508,0.602020157314837,0.494890847802162,0.475730900573544,0.683093030631956,0.584474571121105,0.484493613849221,0.361782640179731,0.33282020490243,0.346767159474927,0.47636,0.663093071622059,0.670612042372228,0.666953057254951,0.666114136073968,0.668399073419234,0.666114354161476,0.00302106445190931,-0.000838921180982721,0.00144601616428264,0.00302128253941691
"14",0.100337206847034,0.674983424507081,0.129295415244997,0.471434409699868,0.678750172032597,0.661247864249741,0.124331309811216,0.0902004131047428,0.0922625404618783,0.0965795313373515,0.47329,0.665375133455532,0.665218184050699,0.664899334971583,0.664800750307811,0.664515274045237,0.664794964998332,-0.000574383147720514,-9.85846637719945e-05,-0.000384060926346352,-0.000580168457200214
"15",0.55122925439151,0.703131720982492,0.137582378461957,0.0378685260517523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
